Name;ISIN;Symbol;Market;Trading Currency;Open;High;Low;Last;Last Date/Time;Time Zone;Volume;Turnover
KLEPIERRE;FR0000121964;LI;Euronext Paris;EUR;21;21.38;20.94;21.15;13/08/2021 17:36;CET;438328;9290115.33
KLIMVEST;GB00B19RTX44;ALSIM;Euronext Growth Paris;EUR;0.6;0.6;0.6;0.6;09/07/2021 16:54;CET;7700;4620
KLM;NL0000009645;-;Euronext Expert Market;EUR;0.9;0.9;0.9;0.9;13/07/2021 11:30;CET;51;45.9
KMC PROPERTIES;NO0010360175;KMCP;Oslo Børs;NOK;7.62;7.62;7.4;7.62;13/08/2021 15:30;CET;2700;20472
KOMPLETT;NO0011016040;KOMPL;Oslo Børs;NOK;59.6;59.8;57.25;57.25;13/08/2021 16:25;CET;28107;1653435.3
KOMPLETT BANK;NO0010694029;KOMP;Oslo Børs;NOK;8.75;8.75;8.2;8.26;13/08/2021 16:25;CET;1499242;12499734.6
KOMPUESTOS;ES0105425005;ALKOM;Euronext Growth Paris;EUR;2.38;2.38;2.38;2.38;19/07/2021 14:23;CET;1;2.38
KONGSBERG AUTOMOT;NO0003033102;KOA;Oslo Børs;NOK;2.723;2.73;2.691;2.695;13/08/2021 16:28;CET;4066378;10995670.6
KONGSBERG GRUPPEN;NO0003043309;KOG;Oslo Børs;NOK;250;252.4;249.6;250.8;13/08/2021 16:28;CET;41873;10493487.8
KORIAN;FR0010386334;KORI;Euronext Paris;EUR;30.78;31.2;30.6;31.2;13/08/2021 17:35;CET;65793;2038588.58
KPN KON;NL0000009082;KPN;Euronext Amsterdam;EUR;2.714;2.747;2.7;2.744;13/08/2021 17:35;CET;10104630;27642648.81
KRAFT BANK;NO0010815103;KRAB;Euronext Growth Oslo;NOK;12.2;12.6;12.2;12.2;13/08/2021 16:27;CET;15349;189779.486
KTESIOS REAL ESTAT;ES0105536009;MLKTS;Euronext Access Lisbon;EUR;12.3;12.3;12.3;12.3;12/08/2021 20:30;BST;195;2398.5
KUMULUS VAPE;FR0013419876;ALVAP;Euronext Growth Paris;EUR;12.8;15.4;12.8;14.5;13/08/2021 17:36;CET;42293;601319.2
KUMULUSBSA2020;FR0014001KF0;VAPBS;Euronext Growth Paris;EUR;-;-;-;-;-;CET;-;-
KYOTO GROUP;NO0010936750;KYOTO;Euronext Growth Oslo;NOK;34;34;32.105;33.105;13/08/2021 15:47;CET;8051;267578.49
L'OREAL;FR0000120321;OR;Euronext Paris;EUR;404.65;405;402.8;403.1;13/08/2021 17:35;CET;277968;112147910.8
LA PERLA FASHION;NL0012191662;ALPER;Euronext Growth Paris;EUR;3.54;3.54;3.54;3.54;13/08/2021 09:00;CET;1;3.54
LACROIX GROUP;FR0000066607;LACR;Euronext Paris;EUR;41.2;41.5;40.4;41;13/08/2021 17:35;CET;332;13618.3
LAGARDERE SA;FR0000130213;MMB;Euronext Paris;EUR;22.82;23;22.72;22.88;13/08/2021 17:35;CET;28438;649672.72
LANSON-BCC;FR0004027068;ALLAN;Euronext Growth Paris;EUR;25.4;25.5;25.2;25.5;13/08/2021 14:33;CET;322;8189.6
LARGO;FR0013308582;ALLGO;Euronext Growth Paris;EUR;11.01;11.15;11;11.14;13/08/2021 17:35;CET;1524;16874.844
LATECOERE;FR0000032278;LAT;Euronext Paris;EUR;0.505;0.515;0.505;0.51;13/08/2021 17:35;CET;385956;196307.915
LAURENT-PERRIER;FR0006864484;LPE;Euronext Paris;EUR;99.6;100.5;99.6;100.5;13/08/2021 17:36;CET;513;51414.5
LAVIDE HOLDING;NL0010545679;LVIDE;Euronext Amsterdam;EUR;0.615;0.63;0.61;0.61;13/08/2021 17:29;CET;9642;5938.355
