,Company,Symbol,Country,Class of Share,Traded Currency,Primary listing,Valor Number,Ticker,sector,industry,ebitdaMargins,profitMargins,revenueGrowth,operatingMargins,returnOnAssets,recommendationKey,recommendationMean,debtToEquity,totalCashPerShare,quickRatio,exchange,beta,enterpriseToEbitda,enterpriseToRevenue,bookValue,earningsQuarterlyGrowth,forwardPE,mostRecentQuarter,logo_url
211,Swisscom AG,SCMN,CH,Registered Share,CHF,True,874251,SCMN.SW,Communication Services,Telecom Services,0.33221,0.16343,0.027,0.18399,0.05322,none,,91.451,6.004,0.687,EBS,0.126567,9.814,3.26,201.942,0.187,,2021-06-30,https://logo.clearbit.com/swisscom.ch
212,Swissquote Group Holding Ltd,SQN,CH,Registered Share,CHF,True,1067586,SQN.SW,Financial Services,Capital Markets,0.0,0.35292998,0.644,0.40995997,0.02012,none,,9.588,240.863,0.925,EBS,0.907968,,-2.463,29.713,1.309,108.91719,2021-06-30,https://logo.clearbit.com/swissquote.ch
213,Tecan Group AG,TECN,CH,Registered Share,CHF,True,1210019,TECN.SW,Healthcare,Medical Instruments & Supplies,0.18451001,0.14186,0.235,0.16483,0.073520005,none,,5.278,39.171,2.696,EBS,0.116086,39.505,7.289,61.348,0.414,79.29363,2020-12-31,https://logo.clearbit.com/tecan.com
214,TEMENOS AG,TEMN,CH,Registered Share,CHF,True,1245391,TEMN.SW,Technology,Software—Application,0.29727,0.21254998,0.106,0.2583,0.06777,none,,185.656,0.916,0.669,EBS,1.117191,43.353,12.888,6.96,5.896,,2021-03-31,https://logo.clearbit.com/temenos.com
215,The Swatch Group AG,UHRN,CH,Registered Share,CHF,True,1225514,UHRN.SW,Consumer Cyclical,Luxury Goods,0.092580006,-0.00911,-0.184,0.0168,0.00442,none,,0.866,34.595,2.233,EBS,0.983969,2.974,0.275,210.485,-0.227,,2020-12-31,https://logo.clearbit.com/swatchgroup.com
216,The Swatch Group AG,UHR,CH,Bearer Share,CHF,True,1225515,UHR.SW,Consumer Cyclical,Luxury Goods,0.092580006,-0.00911,-0.184,0.0168,0.00442,none,,0.866,34.595,2.233,EBS,0.983969,28.629,2.651,210.485,-0.227,,2020-12-31,https://logo.clearbit.com/swatchgroup.com
217,Thurgauer Kantonalbank,TKBP,CH,Participation Certificate,CHF,True,23135110,TKBP.SW,Financial Services,Banks—Regional,0.0,0.39783,0.105,0.42777002,0.0049,none,,,296.391,,EBS,0.241733,,16.972,118.781,0.053,,2021-06-30,https://logo.clearbit.com/tkb.ch
218,Tornos Holding AG,TOHN,CH,Registered Share,CHF,True,1160768,TOHN.SW,Industrials,Specialty Industrial Machinery,-0.26676,-0.28874,-0.464,-0.30069,-0.13142,none,,28.643,0.884,1.135,EBS,1.680672,-4.277,1.141,3.973,,60.769234,2020-12-31,https://logo.clearbit.com/tornos.com
219,TX Group AG,TXGN,CH,Registered Share,CHF,True,1117825,TXGN.SW,Communication Services,Publishing,0.10082,-0.12024,-0.085,0.0057800002,0.00118,none,,4.67,26.063,1.25,EBS,0.688225,10.969,1.106,160.367,-0.833,,2020-12-31,https://logo.clearbit.com/tamedia.ch
220,u-blox Holding AG,UBXN,CH,Registered Share,CHF,True,3336167,UBXN.SW,Technology,Communication Equipment,0.057550002,-0.19377,-0.18,0.02791,0.01054,none,,54.36,13.604,1.542,EBS,1.530864,29.64,1.706,40.731,,7.0022755,2020-12-31,https://logo.clearbit.com/u-blox.com
221,UBS Group AG,UBSG,CH,Registered Share,CHF,True,24476758,UBSG.SW,Financial Services,Banks—Diversified,0.0,0.21795,0.207,0.27402002,0.0070499997,none,,,109.922,,EBS,1.122895,,1.141,16.47,0.628,,2021-06-30,https://logo.clearbit.com/ubs.com
222,Unisys Corporation,UIS,US,Registered Share,CHF,False,10641130,UIS.SW,Technology,Information Technology Services,-0.011089999,-0.20903999,-0.011,-0.02549,-0.01186,none,,,10.692,1.606,EBS,0.548422,-53.626,0.594,-4.948,,,2021-03-31,https://logo.clearbit.com/unisys.com
223,V-ZUG Holding AG,VZUG,CH,Registered Share,CHF,True,54248374,VZUG.SW,Technology,Consumer Electronics,0.16045,0.106429994,0.192,0.12121,0.08444,none,,,14.896,1.352,EBS,,7.983,1.281,61.162,2.012,,2021-06-30,https://logo.clearbit.com/vzug.com
224,Valartis Group AG,VLRT,CH,Registered Share,CHF,True,36742768,VLRT.SW,Financial Services,Capital Markets,0.0,-0.99207,0.246,-0.26349002,-0.05124,none,,42.776,7.951,2.297,EBS,0.478164,,7.435,23.939,,,2020-12-31,https://logo.clearbit.com/valartisgroup.ch
225,Valiant Holding AG,VATN,CH,Registered Share,CHF,True,1478650,VATN.SW,Financial Services,Banks—Regional,0.0,0.29166,0.064,0.35276002,0.00373,none,,,387.91,,EBS,0.767274,,13.95,149.508,0.015,10.874525,2021-03-31,https://logo.clearbit.com/valiant.ch
226,Valora Holding AG,VALN,CH,Registered Share,CHF,True,208897,VALN.SW,Consumer Cyclical,Specialty Retail,0.02664,-0.00365,,-0.00059999997,-0.00026,none,,213.212,52.397,0.681,EBS,1.437258,46.091,1.228,156.247,,10.428572,2020-12-31,https://logo.clearbit.com/valora.com
227,Varia US Properties AG,VARN,CH,Registered Share,CHF,True,30528529,VARN.SW,Real Estate,Real Estate Services,0.0,0.32439,0.064,0.42194998,0.0286,none,,154.193,11.092,3.098,EBS,0.246639,,7.985,38.479,0.397,,2020-12-31,https://logo.clearbit.com/variausproperties.com
228,VAT Group AG,VACN,CH,Registered Share,CHF,True,31186490,VACN.SW,Industrials,Specialty Industrial Machinery,0.30392,0.22400999,0.306,0.25767002,0.12595999,none,,56.045,2.928,1.007,EBS,1.085297,46.736,14.204,18.517,0.78,,2021-06-30,https://logo.clearbit.com/vatvalve.com
229,Vaudoise Assurances Holding SA,VAHN,CH,Registered Share,CHF,True,2154566,VAHN.SW,Financial Services,Insurance—Diversified,0.12903,0.09239,0.056,0.11666001,0.01165,none,,0.001,46.115,0.098,EBS,0.569928,7.515,0.97,719.646,0.047,10.136055,2020-12-31,https://logo.clearbit.com/vaudoise.ch
230,Vetropack Holding AG,VETN,CH,Registered Share,CHF,True,53023559,VETN.SW,Consumer Cyclical,Packaging & Containers,0.21462,0.1012,0.233,0.10993,0.051609997,none,,5.44,4.439,1.546,EBS,0.676738,7.213,1.548,38.519,-0.127,,2021-06-30,https://logo.clearbit.com/vetropack.com
231,Vifor Pharma AG,VIFN,CH,Registered Share,CHF,True,36474934,VIFN.SW,Healthcare,Drug Manufacturers—Specialty & Generic,0.29138002,0.20413,,0.17778999,0.03859,none,,15.176,11.324,2.255,EBS,1.304152,16.442,4.791,55.043,,,2020-12-31,https://logo.clearbit.com/viforpharma.com
232,Villars Holding S.A.,VILN,CH,Registered Share,CHF,True,260965,VILN.SW,Consumer Defensive,Grocery Stores,0.04539,0.010190001,-0.33,0.01676,0.0059100003,none,,12.986,203.609,3.761,EBS,0.441456,23.707,1.076,857.569,-0.335,,2020-12-31,https://logo.clearbit.com/villarsholding.ch
233,Von Roll Holding AG,ROL,CH,Bearer Share,CHF,True,324535,ROL.SW,Industrials,Electrical Equipment & Parts,0.05106,-0.11531,-0.322,-0.00558,-0.0029499999,none,,1.978,0.138,3.401,EBS,1.136212,22.281,1.138,0.481,,,2020-12-31,https://logo.clearbit.com/vonroll.com
234,Vontobel Holding AG,VONN,CH,Registered Share,CHF,True,1233554,VONN.SW,Financial Services,Asset Management,0.0,0.21301001,0.251,0.2872,0.01035,none,,,274.208,,EBS,1.377665,,-5.56,33.929,0.495,15.5,2021-06-30,https://logo.clearbit.com/vontobel.com
